address,current_zone,current_potential_units,distance_to_station_ft,ballot_zone,ballot_potential_units,additional_units
3603 S MONACO STREET PKWY,S-MX-5A,206.0,899.5310041825899,S-MX-5A,206,0.0
4690 S MONACO ST,B-4,223.0,1153.3520828139494,B-4,223,0.0
4899 S QUEBEC ST,C-MX-20,1278.0,438.10868223706825,C-MX-20,1278,0.0
6754 E UNION AVE,T-MU-30,1776.0,655.6970216416815,T-MU-30,1776,0.0
6702 E UNION AVE,T-MU-30,909.0,1005.6138720361781,T-MU-30,909,0.0
6752 E LAYTON AV,T-MU-30,1336.0,724.8597654886662,T-MU-30,1336,0.0
6711 E CHENANGO AVE,T-MU-30,858.0,1114.8144030080555,T-MU-30,858,0.0
6751 E CHENANGO AVE,T-MU-30,733.0,939.1567983070545,T-MU-30,733,0.0
5091 S QUEBEC ST,T-MU-30,962.0,824.9082266026514,T-MU-30,962,0.0
4702 S NEWPORT ST,C-MX-20,2127.0,42.82863164639603,C-MX-20,2127,0.0
4602 S NEWPORT WAY,T-MU-30,1879.0,1065.6918263059356,T-MU-30,1879,0.0
4502 S NEWPORT WAY,T-MU-30,1760.0,1788.5889037764289,T-MU-30,1760,0.0
4520 S NEWPORT WAY,T-MU-30,936.0,1645.5601170189848,T-MU-30,936,0.0
4690 S NEWPORT WAY,T-MU-30,2978.0,453.0163827704977,T-MU-30,2978,0.0
4652 S NEWPORT WAY,T-MU-30,1440.0,658.7667766617703,T-MU-30,1440,0.0
4492 S NEWPORT WAY,T-MU-30,1355.0,1958.3461171951224,T-MU-30,1355,0.0
7699 E TECHNOLOGY WAY,S-MX-12,677.0,2001.21158090113,S-MX-12,677,0.0
7699 E BELLEVIEW AVE,S-MX-12,204.0,1686.3128171845117,S-MX-12,204,0.0
7795 E BELLEVIEW AVE,S-MX-12,215.0,1899.701213615154,S-MX-12,215,0.0
1903 WAZEE ST APPRX,PUD-G,173.0,1741.6279757939478,PUD-G,173,0.0
1703 11TH ST,CPV-C,81.0,1054.718338995928,G-RX-5x,121,40.0
1000 CHOPPER CIR,CPV-C,2609.0,24.697685519990188,C-MX-8x,10437,7828.0
1363 9TH ST,CMP-EI,55.0,1392.9400941099768,CMP-EI,55,0.0
900 AURARIA PKWY,CMP-EI,48.0,1392.9400941099768,CMP-EI,48,0.0
1363 9TH ST,CMP-EI,85.0,1392.9400941099768,CMP-EI,85,0.0
800 WALNUT ST,CMP-EI,231.0,1305.495498438855,G-RX-5x,346,115.0
1030 11TH ST,CMP-EI,33.0,601.9883965118698,C-MX-8x,132,99.0
931 14TH ST,D-TD,42.0,443.3092533726734,C-MX-8x,167,125.0
1000 W WESLEY AVE,I-B,751.0,2325.737536498838,I-B,751,0.0
3988 N GALAPAGO ST,C-MX-20,613.0,748.8280392475565,C-MX-20,613,0.0
2150 E 49TH AVE,C-MX-8,198.0,1675.7095028580918,C-MX-8,198,0.0
3989 N GALAPAGO ST,C-MX-20,328.0,704.1419243879512,C-MX-20,328,0.0
699 W 40TH AVE,C-MX-20,515.0,525.3966118669565,C-MX-20,515,0.0
1546 CALIFORNIA ST,D-C,38.0,58.71400640937867,C-MX-8x,150,112.0
4750 E ILIFF AVE,CMP-H,63.0,2248.7934183202387,CMP-H,63,0.0
3850 BLAKE ST,I-MX-12,195.0,531.5816010753038,I-MX-12,195,0.0
8105 E 35TH AVE,C-MU-20,4047.0,1267.440290704744,C-MU-20,4047,0.0
7320 E 40TH AVE,I-MX-5,306.0,2492.3821697488406,I-MX-5,306,0.0
7835 E 40TH AVE,I-MX-5,80.0,1603.2216170927788,I-MX-5,80,0.0
1485 40TH ST,I-MX-12,424.0,1228.1034368830162,I-MX-12,424,0.0
1717 N GRANT ST,C-MX-12,372.0,1510.665428242939,C-MX-12,372,0.0
1450 7TH ST,CMP-EI,119.0,881.4575207705603,G-RX-5x,179,60.0
4201 N BRIGHTON BLVD,I-MX-8,344.0,2233.8768553672007,I-MX-8,344,0.0
4101 E WESLEY AVE,S-CC-5X,117.0,2083.8058017763856,S-CC-5X,117,0.0
4439 N TELLURIDE ST,PUD,436.0,2423.4712796128615,PUD,436,0.0
2040 S COLORADO BLVD,C-MX-20,727.0,507.1524857394138,C-MX-20,727,0.0
1055 19TH ST,D-C,142.0,827.071694707395,G-RX-5x,213,71.0
8101 E 40TH AVE,I-B,415.0,1463.521097890964,I-B,415,0.0
1000 N PECOS ST,I-B,308.0,341.9376701441657,C-MX-8x,1232,924.0
600 N OSAGE ST,I-B,197.0,1695.5793289085402,I-B,197,0.0
1390 W 10TH AVE,C-MX-8,330.0,54.20734290018171,C-MX-8,330,0.0
90 S ELATI ST,I-MX-5,80.0,2253.6072880735546,I-MX-5,80,0.0
